cust_id,count_accts,cm_age,flag_top_ed_spender,flag_cust_fee_paid_6m,pre6m_cust_spend,pre6m_cust_roc_cnt,pre6m_cust_non_disc_amt,pre6m_cust_non_disc_cnt,pre6m_cust_disc_amt,pre6m_cust_disc_cnt,pre6m_cust_outbound_amt,pre6m_cust_online_amt,pre6m_cust_online_cnt,pre6m_cust_travel_amt,pre6m_cust_travel_cnt,pre6m_cust_retail_amt,pre6m_cust_retail_cnt,pre6m_cust_myca_active,pre6m_cust_mob_logins,pre6m_total_mc_trs,acq_sub_chn,acq_type_grp,fee_type_grp,Cust_tenure,pre6m_spend_active_ind,highly_utilized_ind,min_pay_ind,paid_in_full_ind,sum_total_line_amt,direct_debit_ind,referrals,spillover,self_accts,Customer Low Quality indicator,cdss_most_rcnt_prob,cust_max_credit_12m_amt,cust_max_remit_12m_amt,cbr_3_score,cnsumr_chrg_actv_cust_cnt,cnsumr_chrg_avg_credit_12m_amt,cnsumr_lend_actv_cust_cnt,cnsumr_lend_tot_util_ratio,sow_revol_avg_paydown_pct,sow_tot_annual_ext_pmt_amt,sow_tot_revol_bal_amt,sow_tot_revol_cnt,sow_tot_trans_bal_amt,sow_tot_trans_cnt
569996,1,55,0,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (1),Paid Search,external,no_fee,8,0,0,0,0," 16,000 ",0,0,0,0,0,0, -   , -   ,1399,0, -   ,1,0,0, 1 , -   ,0, -   ,0
569997,1,37,1,0," 3,408 ",492, 913 ,182," 2,496 ",310, 247 , 829 ,64, 784 ,34, 893 ,154,0,0, (10),Paid Search,external,reduced_fee,7,1,0,0,1," 44,000 ",0,0,0,0,0,0, 615 , 615 ,1232,0, -   ,1,0.04849,0," 9,994 ", -   ,0, 75 ,2
569998,1,36,1,1," 5,114 ",376," 1,075 ",152," 4,039 ",224, 983 ," 2,041 ",112," 1,038 ",32," 1,291 ",160,3,3, (135),MGM,external,full_fee,4,1,0,0,0," 26,667 ",0,1,0,0,0,0," 1,727 "," 1,661 ",1376,0, -   ,1,0.029443,0, -   , -   ,0, -   ,0
569999,1,29,1,0, 276 ,16, 84 ,12, 193 ,4, 185 , 44 ,4, 185 ,2, 39 ,10,4,4, 4 ,MGM,external,no_fee,1,0,0,0,0," 6,667 ",0,0,0,0,0,0.005, -   , -   ,998,0, -   ,1,0.012705,0, -   , -   ,0, -   ,0
570000,2,32,1,1," 6,352 ",890," 1,434 ",336," 4,919 ",554, 281 ," 3,303 ",440," 2,999 ",170," 1,671 ",392,15,27, (285),In House,others,full_fee,11,1,0,0,1," 39,333 ",1,2,0,0,0,0," 1,311 "," 1,280 ",1308,0, 299 ,2,0.021901,0, -   , -   ,0, -   ,0
570001,1,67,0,1," 11,611 ",58," 2,536 ",14," 9,075 ",44, 52 ," 1,025 ",44," 7,280 ",4," 4,011 ",50,0,0, 34 ,MGM,external,full_fee,26,1,1,0,0," 61,200 ",0,0,0,0,0,0," 5,738 "," 5,688 ",1255,0, -   ,1,0.023137,0," 8,435 ", -   ,0," 1,154 ",5
570002,2,55,1,0, 127 ,38, 70 ,22, 57 ,16, 0 , 49 ,16, 4 ,2, 82 ,28,13,23, (24),Partner,external,no_fee,21,1,0,0,1," 12,067 ",1,1,0,0,0,0, 72 , 72 ,1300,0, -   ,2,0.013679,0.01," 9,092 "," 1,958 ",2, 403 ,3
570003,1,33,1,1," 3,532 ",1174, 910 ,640," 2,622 ",534, 379 , 728 ,224, 979 ,174," 1,381 ",586,4,4, 74 ,MGM,external,reduced_fee,16,1,0,0,0, -   ,1,0,0,0,0,0," 1,442 "," 1,436 ",1053,1, 632 ,0,0,0, 422 , -   ,0, -   ,2
570004,1,30,0,0," 4,411 ",330, 153 ,44," 4,258 ",286, 554 , 522 ,204," 3,475 ",162, 207 ,54,5,5, 36 ,Paid Search,external,full_fee,9,1,0,0,1," 20,000 ",0,2,1,0,0,0," 1,162 "," 1,162 ",1243,0, -   ,1,0.082186,0, -   , -   ,0, -   ,0
570005,2,35,0,0," 4,634 ",818, 606 ,200," 4,029 ",618, 733 ," 2,970 ",416," 2,091 ",228," 1,111 ",318,0,0, 71 ,Affiliates,external,full_fee,71,1,0,0,1," 88,800 ",1,0,0,0,0,0," 1,179 "," 1,121 ",1346,0, -   ,2,0.02932,0, -   , -   ,0, -   ,0
570006,1,42,1,1," 4,252 ",718," 2,357 ",316," 1,894 ",402, 223 , 925 ,152, 43 ,28," 2,430 ",328,3,3, 24 ,Unreferred,external,reduced_fee,14,1,0,0,0, -   ,0,1,0,0,0,0, 887 , 887 ,1376,1, 537 ,0,0,0, -   , -   ,0, -   ,0
570007,1,45,1,0," 1,448 ",364, 627 ,150, 822 ,214, 81 , 841 ,232, 175 ,50, 554 ,184,4,4, (2),MGM,external,no_fee,29,1,0,0,0," 20,000 ",0,0,0,0,0,0, 321 , 321 ,1274,0, -   ,1,0.000142,0, -   , -   ,0, -   ,0
570008,1,33,0,0, 489 ,114, 137 ,32, 352 ,82, 146 , 244 ,68, 53 ,34, 293 ,56,4,6, (11),MGM,external,reduced_fee,1,1,0,0,0," 3,000 ",0,1,0,0,0,0.03, 179 , 174 ,952,0, -   ,1,0.067062,0, -   , -   ,0, -   ,0
570009,2,33,1,1," 14,662 ",942," 2,821 ",394," 11,842 ",548," 3,650 "," 8,022 ",668," 4,929 ",102," 5,787 ",562,13,55, 222 ,Unreferred,external,full_fee,47,1,0,0,0," 60,000 ",1,0,0,0,0,0," 3,742 "," 3,340 ",1197,1," 2,065 ",1,0,0," 8,525 ", -   ,0," 1,420 ",3
570010,1,46,0,0, 719 ,54, 719 ,54, -   ,0, -   , -   ,0, -   ,0, -   ,0,5,6, (7),Unreferred,external,reduced_fee,10,1,0,0,1," 8,000 ",0,0,0,0,0,0.005, 124 , 124 ,1106,0, -   ,1,0.1,0.2544," 4,581 ", 505 ,3, 115 ,3
570011,2,42,1,1," 8,284 ",674," 1,745 ",154," 6,539 ",520," 1,192 "," 5,586 ",660, 528 ,38," 2,623 ",234,13,91, 158 ,Direct,others,full_fee,18,1,0,0,1," 59,600 ",0,0,0,0,0,0.001," 1,619 "," 1,366 ",1220,1, 683 ,1,-0.000202,0.2348, 844 , 361 ,2, -   ,0
570012,1,69,1,1," 18,730 ",500," 2,940 ",170," 15,791 ",330," 1,326 "," 2,635 ",384," 11,539 ",160," 3,022 ",210,8,12, 10 ,Unreferred,spillover,full_fee,92,1,0,0,1," 102,800 ",0,0,0,0,0,0," 5,867 "," 5,867 ",1315,0, -   ,1,0.283681,0," 5,753 ", -   ,0, 659 ,2
570013,2,40,1,1," 7,717 ",406," 4,020 ",212," 3,697 ",194, 351 ," 2,489 ",232," 1,086 ",8," 5,271 ",288,11,15, (77),MGM,spillover,full_fee,14,1,0,0,1," 53,200 ",0,0,0,0,0,0," 1,993 "," 1,694 ",1372,1, 655 ,1,0.245384,0," 5,743 ", -   ,0, 754 ,2
570014,1,36,0,0," 2,034 ",358, 539 ,120," 1,496 ",238, 617 , 256 ,48, 722 ,34, 646 ,146,6,11, 22 ,Unreferred,external,reduced_fee,12,1,0,0,0, -   ,1,0,0,0,0,0.002, 577 , 558 ,1342,1, 265 ,0,0,0, 533 , -   ,0, -   ,2
570015,1,39,0,0," 5,125 ",702," 1,373 ",232," 3,753 ",470," 2,078 "," 1,804 ",520," 1,894 ",186," 2,006 ",310,9,243, 584 ,Media,external,no_fee,39,1,1,0,0," 72,267 ",0,0,0,0,0,0.009," 4,792 "," 4,792 ",1053,0, -   ,1,0.57221,0.0317, 178 , 549 ,2, -   ,0
570016,1,31,0,0, 680 ,162, 457 ,136, 224 ,26, -   , 181 ,32, 1 ,2, 90 ,28,0,0, (5),Search,external,no_fee,21,1,0,0,1," 25,200 ",1,1,0,0,0,0, 226 , 226 ,1323,0, -   ,1,0.021536,0, -   , -   ,0, -   ,0
570017,3,46,1,1," 4,615 ",650," 1,652 ",234," 2,963 ",416, 46 ," 1,682 ",64, 647 ,222," 3,468 ",278,18,240, 60 ,Unreferred,others,full_fee,18,1,0,0,1," 103,667 ",0,3,3,2,0,0.001," 1,293 "," 1,241 ",1369,1, 672 ,2,0,0," 1,307 ", -   ,0, -   ,2
570018,1,30,1,0," 4,336 ",852, 565 ,210," 3,771 ",642," 1,176 "," 2,370 ",288, 611 ,300," 1,120 ",262,7,20, 59 ,MGM,spillover,no_fee,9,1,0,0,1," 34,667 ",0,1,1,1,0,0.008, 902 , 898 ,1255,0, 152 ,1,0.225791,0, -   , -   ,0, -   ,0
570019,1,50,0,0," 2,572 ",372," 1,661 ",166, 911 ,206, 288 , 529 ,304, 59 ,10," 1,778 ",264,5,7, 20 ,Direct,external,reduced_fee,9,1,0,0,1," 39,800 ",1,0,0,0,0,0," 1,109 "," 1,101 ",1300,0, -   ,1,0.06841,0.0725," 2,745 "," 1,688 ",3, -   ,0
570020,1,39,0,0," 1,023 ",204, 443 ,132, 581 ,72, -   , 317 ,48, 155 ,10, 601 ,154,7,37, (26),Unreferred,external,no_fee,4,1,0,0,1," 26,667 ",1,0,0,0,0,0, 292 , 292 ,1274,0, -   ,1,0.028899,0, 62 , -   ,0, -   ,0
570021,2,36,1,0," 1,137 ",62," 1,065 ",34, 72 ,28, 6 , 24 ,12, 1 ,2," 1,051 ",38,15,37, (35),Affiliates,spillover,no_fee,11,1,0,0,1," 86,667 ",0,1,0,0,0,0, 843 , 843 ,1281,0, -   ,2,0,0, -   , -   ,0, -   ,0
570022,1,35,0,0," 3,986 ",308, 521 ,156," 3,466 ",152, 72 ," 2,291 ",120, 539 ,6," 1,821 ",148,9,218, (10),MGM,spillover,full_fee,49,1,0,0,1," 43,600 ",1,1,0,0,0,0," 1,030 "," 1,028 ",1346,0, -   ,1,0.01854,0," 2,451 ", -   ,0, 34 ,2
570023,2,36,1,0," 9,097 ",890," 3,222 ",214," 5,876 ",676, 290 ," 5,902 ",188," 3,963 ",342," 1,291 ",292,15,37, 7 ,Unreferred,external,no_fee,32,1,0,0,1," 76,000 ",1,1,0,0,0,0.001," 4,558 "," 3,943 ",1296,0, 528 ,2,0.017255,0," 3,438 ", -   ,0, 10 ,2
570024,1,30,1,0," 3,916 ",982, 516 ,198," 3,400 ",784, 653 ," 1,527 ",380," 1,133 ",302," 1,198 ",308,0,0, (4),MGM,external,reduced_fee,31,1,0,0,0, -   ,0,2,2,0,0,0.001," 1,933 "," 1,858 ",1186,1, 530 ,0,0,0, -   , -   ,0, -   ,0
570025,1,42,1,0," 7,984 ",732," 5,065 ",440," 2,919 ",292, 404 ," 1,091 ",264, 155 ,16," 5,257 ",402,0,0, 21 ,MGM,external,full_fee,68,1,0,0,0," 119,200 ",0,0,0,0,0,0," 1,953 "," 1,917 ",1232,0, -   ,1,0.009347,0, -   , -   ,0, -   ,0
570026,1,34,1,0," 7,602 ",752," 1,540 ",180," 6,062 ",572, 404 , 866 ,220, 855 ,138," 4,823 ",248,4,5, (28),Unreferred,external,full_fee,61,1,1,0,1," 98,800 ",1,0,0,0,0,0," 8,332 "," 8,332 ",1137,0, -   ,1,0.008923,0, -   , -   ,0, -   ,0
570027,1,34,1,0," 7,098 ",1716, 534 ,360," 6,564 ",1356," 2,069 "," 2,432 ",1092," 2,111 ",408," 2,241 ",482,7,15, 120 ,MGM,external,reduced_fee,11,1,0,0,0," 23,600 ",0,0,0,0,0,0," 1,551 "," 1,539 ",1239,0, -   ,1,0.01094,0, -   , -   ,0, -   ,0
570028,1,31,0,1," 2,492 ",402, 479 ,36," 2,013 ",366, 73 ," 1,663 ",600, 194 ,10, 979 ,96,9,41, 23 ,MGM,external,full_fee,17,1,0,0,1," 44,000 ",1,1,0,0,0,0, 376 , 356 ,1369,0, -   ,1,0.074966,0, -   , -   ,0, -   ,0
570029,1,59,0,0," 5,338 ",222," 1,191 ",116," 4,147 ",106, 782 ," 1,347 ",88," 3,098 ",26," 1,649 ",158,5,5, 59 ,MGM,external,full_fee,10,1,0,0,1," 43,600 ",0,0,0,0,0,0," 1,544 "," 1,544 ",963,0, -   ,1,0.091511,0, -   , -   ,0, -   ,0
570030,1,33,1,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (1),MGM,external,no_fee,,,,,, -   ,,,,,,0.001, -   , -   ,1304,0, -   ,1,0,0, -   , -   ,0, -   ,0
570031,1,43,0,1," 6,376 ",840," 2,469 ",250," 3,908 ",590, 395 ," 2,848 ",376," 2,247 ",266," 3,337 ",456,5,7, (111),In House,others,full_fee,5,1,0,0,1," 56,000 ",0,1,1,1,0,0," 1,839 "," 1,827 ",1300,0, -   ,1,0.145743,0," 4,126 ", -   ,0, 9 ,3
570032,1,61,0,0," 7,475 ",210, 151 ,20," 7,324 ",190," 1,592 "," 2,513 ",52," 5,324 ",120," 1,266 ",16,8,33, 118 ,Unreferred,external,no_fee,6,1,0,0,1," 60,000 ",0,0,0,0,0,0," 1,689 "," 1,670 ",1110,0, -   ,1,0.038376,0.3578," 16,754 "," 4,440 ",2, 49 ,4
570033,1,37,1,0," 5,225 ",1310," 1,057 ",262," 4,168 ",1048, 369 , 849 ,200, 863 ,350," 1,595 ",350,4,4, 88 ,MGM,external,reduced_fee,10,1,0,0,1," 16,000 ",0,2,0,0,0,0," 1,081 "," 1,010 ",967,0, -   ,1,0.298168,0, -   , -   ,0, -   ,0
570034,1,34,1,0," 8,177 ",1006," 1,706 ",206," 6,472 ",800," 3,231 "," 1,970 ",384," 3,218 ",274," 1,845 ",240,4,4, (70),MGM,external,full_fee,8,1,0,0,1," 35,200 ",1,0,0,0,0,0," 2,042 "," 2,017 ",1224,0, -   ,1,0.182633,0, -   , -   ,0, -   ,0
570035,1,41,0,0," 6,557 ",1264," 2,425 ",632," 4,133 ",632, 871 ," 2,194 ",500," 1,496 ",282," 2,665 ",628,9,104, 97 ,MGM,external,full_fee,11,1,0,0,0," 46,400 ",0,2,0,0,0,0," 1,309 "," 1,278 ",1376,0, -   ,1,0.127747,0, -   , -   ,0, -   ,0
570036,2,41,1,0," 17,880 ",904," 2,529 ",116," 15,352 ",788, 326 ," 4,159 ",464," 1,781 ",240," 13,267 ",304,15,69, (12),In House,others,no_fee,132,1,0,0,1," 111,600 ",1,0,0,0,0,0," 6,208 "," 6,207 ",1376,0, -   ,2,0.319161,0, -   , -   ,0, -   ,0
570037,1,37,1,0," 7,965 ",1226," 1,172 ",212," 6,793 ",1014, 771 ," 2,248 ",184," 2,630 ",326," 1,783 ",244,5,5, 85 ,MGM,external,reduced_fee,35,1,0,0,0, -   ,1,0,0,0,0,0," 2,040 "," 2,040 ",1304,1, 929 ,0,0,0, -   , -   ,0, -   ,0
570038,1,40,0,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,4,8, (0),MGM,external,full_fee,1,0,0,0,0," 1,000 ",0,1,0,0,0,0.012, -   , -   ,0,0, -   ,1,0,0, -   , -   ,0, -   ,0
570039,2,65,1,1," 9,180 ",592," 1,985 ",324," 7,196 ",268, 737 ," 2,229 ",216, 940 ,50," 4,428 ",364,13,35, 232 ,In House,others,full_fee,137,1,0,0,0," 27,200 ",1,2,0,0,0,0," 4,193 "," 4,120 ",1338,1," 1,554 ",1,0,0," 3,628 ", -   ,0, 195 ,2
570040,1,41,0,0," 2,917 ",344, 956 ,112," 1,962 ",232, 355 ," 1,289 ",152, 910 ,82," 1,413 ",152,0,0, 10 ,Unreferred,external,no_fee,43,1,0,0,1," 37,733 ",1,0,0,0,0,0, 754 , 754 ,1239,0, -   ,1,0.001677,0, -   , -   ,0, -   ,0
570041,1,32,1,0," 3,210 ",386, 377 ,66," 2,833 ",320, 114 ," 2,006 ",124," 1,785 ",120, 619 ,100,4,4, 10 ,Unreferred,spillover,full_fee,27,1,0,0,1," 46,800 ",0,0,0,0,0,0, 861 , 794 ,1353,0, -   ,1,0.002935,0, -   , -   ,0, -   ,0
570042,1,32,0,0," 5,297 ",114, 80 ,12," 5,216 ",102, 101 ," 4,893 ",184," 1,035 ",26, 570 ,22,4,7, 12 ,Unreferred,external,no_fee,11,1,1,0,1," 13,333 ",1,0,0,0,0,0.012," 1,414 "," 1,080 ",938,0, -   ,1,0,0, -   , -   ,0, -   ,0
570043,1,29,0,0," 1,559 ",170, 129 ,30," 1,429 ",140, 50 , 288 ,32, 224 ,12, 303 ,40,0,0, (24),Unreferred,external,no_fee,4,1,0,0,1," 13,333 ",0,0,0,0,0,0, 281 , 281 ,1300,0, -   ,1,0,0, -   , -   ,0, -   ,0
570044,1,33,0,0," 1,146 ",22, 50 ,10," 1,097 ",12, 926 , 993 ,8, 67 ,2, 965 ,10,4,13, 27 ,Affiliates,external,no_fee,1,1,0,0,0," 5,000 ",1,0,0,0,0,0.004, -   , -   ,987,0, -   ,1,0.053802,0, -   , -   ,0, -   ,0
570045,2,41,1,1," 6,816 ",1014," 1,022 ",264," 5,795 ",750, 655 ," 2,762 ",392," 3,890 ",350," 1,425 ",338,13,321, (46),Unreferred,spillover,full_fee,106,1,0,0,1," 86,000 ",1,0,0,0,0,0," 1,360 "," 1,345 ",1376,0, -   ,1,0.000029,0, 19 , -   ,0, -   ,0
570046,1,42,0,1," 9,962 ",1106," 3,576 ",542," 6,387 ",564," 2,328 "," 5,193 ",784, 675 ,28," 3,997 ",528,0,0, 84 ,MGM,spillover,full_fee,16,1,0,0,1," 48,000 ",0,0,0,0,0,0," 2,684 "," 2,646 ",1182,0, -   ,1,0.095965,0.01," 2,675 "," 2,575 ",2, 273 ,2
570047,1,35,1,1," 4,793 ",566, 986 ,236," 3,807 ",330, 514 ," 2,443 ",308," 2,051 ",114," 1,863 ",346,0,0, 43 ,Unreferred,external,full_fee,39,1,0,0,1," 57,600 ",0,0,0,0,0,0," 1,561 "," 1,552 ",1023,0, -   ,1,0.050882,0, -   , -   ,0, -   ,0
570048,1,64,1,0," 3,025 ",162," 1,103 ",132," 1,922 ",30, 15 ," 1,211 ",28," 1,860 ",20, 943 ,116,9,134, (10),Partner,external,no_fee,27,1,0,0,1," 52,800 ",1,0,0,0,0,0," 1,742 "," 1,742 ",1304,0, -   ,1,0.195941,0," 7,053 ", -   ,0, 448 ,2
570049,3,78,0,0," 10,757 ",222, 52 ,6," 10,706 ",216," 3,401 "," 7,370 ",344," 9,217 ",84," 1,121 ",92,21,837, 190 ,Unreferred,external,no_fee,13,1,0,0,1," 66,400 ",1,0,0,0,0,0.049," 3,704 "," 3,704 ",1034,0, 862 ,2,0.087884,0, 293 , -   ,0, (80),3
570050,1,39,1,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (7),MGM,external,full_fee,13,0,0,0,0," 6,000 ",0,0,0,0,0,0.001, 72 , 72 ,1209,0, -   ,1,0,0, -   , -   ,0, -   ,0
570051,3,41,0,0, 129 ,10, 52 ,2, 77 ,8, -   , -   ,0, -   ,0, 112 ,8,9,12, (35),MGM,external,full_fee,10,1,0,0,0," 74,600 ",0,2,0,0,0,0.001, 59 , 59 ,1209,0, -   ,3,0,0, -   , -   ,0, -   ,0
570052,1,67,0,1," 2,301 ",50, -   ,0," 2,301 ",50, 722 ," 1,392 ",76," 2,127 ",40, 8 ,4,4,4, (53),Partner,external,full_fee,3,1,0,0,0," 16,000 ",0,0,0,0,0,0.022, 42 , 42 ,993,0, -   ,1,0.54986,0, -   , -   ,0, -   ,0
570053,1,31,1,0, 338 ,112, 86 ,46, 252 ,66, -   , 23 ,12, 57 ,46, 229 ,42,4,4, (7),Affiliates,external,no_fee,2,1,0,0,0," 13,867 ",1,1,0,0,0,0.001, -   , -   ,1133,0, -   ,1,0.023482,0, -   , -   ,0, -   ,0
570054,1,34,1,0, 290 ,28, 241 ,16, 49 ,12, 22 , 44 ,20, -   ,0, 91 ,18,4,7, (2),MGM,external,full_fee,1,0,0,0,0," 1,000 ",0,1,0,0,0,0.008, -   , -   ,812,0, -   ,1,0.029993,0, -   , -   ,0, -   ,0
570055,1,35,1,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (0),MGM,external,reduced_fee,,,,,, -   ,,,,,,, -   , -   ,,, -   ,,,, -   , -   ,, -   ,
570056,2,45,1,1," 14,938 ",2212," 3,891 ",596," 11,048 ",1616," 2,156 "," 7,456 ",1552," 2,066 ",216," 6,775 ",1020,15,27, (88),MGM,spillover,reduced_fee,101,1,0,0,1," 92,000 ",1,4,2,0,0,0," 9,549 "," 8,677 ",1357,0, 47 ,1,0.121668,0.0223, 73 ," 1,805 ",2, -   ,0
570057,1,45,0,0," 1,712 ",306, 558 ,216," 1,154 ",90, 119 , 331 ,128, 103 ,8, 888 ,244,5,5, 18 ,Affiliates,external,no_fee,24,1,0,0,0," 22,667 ",1,1,0,0,0,0, 595 , 503 ,1190,0, -   ,1,0.169128,0," 1,378 ", -   ,0, 470 ,5
570058,1,31,1,0," 3,719 ",352, 472 ,126," 3,247 ",226, 540 , 683 ,80, 173 ,72," 2,285 ",152,3,3, (20),MGM,external,no_fee,4,1,0,0,1," 13,333 ",1,0,0,0,0,0," 1,469 "," 1,467 ",1235,0, -   ,1,-0.00047,0, -   , -   ,0, -   ,0
570059,1,31,1,0, 101 ,34, 26 ,16, 75 ,18, -   , -   ,0, 8 ,6, 26 ,16,3,3, (3),MGM,external,no_fee,1,0,0,0,0," 3,333 ",0,0,0,0,0,0.001, -   , -   ,0,0, -   ,1,0.013118,0, -   , -   ,0, -   ,0
570060,2,43,0,0," 5,560 ",386," 1,428 ",176," 4,132 ",210, 115 ," 2,859 ",264, 500 ,22," 3,600 ",172,15,33, (143),Unreferred,external,reduced_fee,7,1,0,0,1," 57,200 ",0,0,0,0,0,0," 1,726 "," 1,667 ",1281,0, -   ,2,0.15069,0.2261," 2,372 ", 637 ,2, 73 ,3
570061,1,39,0,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (0),MGM,external,full_fee,1,0,0,0,0," 2,667 ",0,0,0,0,0,0, -   , -   ,0,0, -   ,1,0,0, -   , -   ,0, -   ,0
570062,1,35,1,0," 7,317 ",782," 1,135 ",176," 6,183 ",606, 539 ," 3,184 ",324," 1,169 ",214," 3,554 ",298,7,10, (9),Unreferred,external,no_fee,71,1,0,0,1," 32,000 ",0,2,0,0,0,0," 4,688 "," 3,019 ",1346,0, -   ,1,-0.073918,0, -   , -   ,0, -   ,0
570063,1,51,0,0," 1,897 ",30, 28 ,8," 1,869 ",22," 1,609 "," 1,684 ",20," 1,694 ",8, 85 ,8,0,0, 84 ,Unreferred,external,no_fee,38,1,0,1,1," 31,600 ",0,0,0,0,0,0.005," 1,364 "," 1,357 ",1376,0, -   ,1,0.007215,0," 2,712 ", -   ,0, -   ,0
570064,1,35,0,0, 365 ,118, 128 ,18, 237 ,100, -   , 54 ,16, 97 ,74, 196 ,28,0,0, 2 ,Unreferred,spillover,no_fee,35,1,0,1,0," 6,000 ",0,0,0,0,0,0.001, 294 , 294 ,1186,0, 94 ,1,0.19337,0, -   , -   ,0, -   ,0
570065,1,51,1,0," 4,318 ",24, 72 ,2," 4,246 ",22, -   ," 2,976 ",24," 4,246 ",22, 72 ,2,4,7, 52 ,In House,others,full_fee,34,1,0,0,0," 40,000 ",0,0,0,0,0,0," 1,660 "," 1,660 ",1220,0, -   ,1,0.69631,0," 2,209 ", -   ,0, -   ,0
